rank,nome,prov,pop,ele_m,score,salute,mobilita,istruzione,quotidiano,rischio,vitalita,m_er,m_pharm,m_doc,m_vet,m_rail,m_mjunc,m_kinder,m_school,m_upper,m_super,m_post,n_retail5,flood_p3,flood_p2,land_p34,oldindex,pct65,age_mean,pop_trend,tour_units,tour_p1000,income,coast,sea_km,beach_km,lat,lon,istat
263,Ponte dell'Olio,PC,4670,340.0,85.6,78.6,76.4,92.0,99.7,98.4,95.1,3.3,15.8,33.6,44.0,38.8,44.7,4.1,3.5,42.4,3.5,3.9,5,0.85,1.46,4.18,289.0,29.2,49.2,-1.35,1,0.2,22974.0,0,203.4,175.8,44.8645944,9.6653209,033036
264,Solignano,PR,1658,443.0,85.3,82.5,99.5,81.2,80.8,86.5,90.5,50.4,12.1,14.5,34.2,6.1,17.1,29.1,8.0,41.3,12.1,14.5,0,3.15,7.85,22.46,291.0,28.4,49.3,-3.94,0,0.0,23948.0,0,177.9,155.1,44.6389698,9.9900267,034035
265,Civitella di Romagna,FC,3620,481.0,84.6,88.3,77.1,81.3,93.5,88.0,96.6,45.7,7.3,7.0,34.0,47.2,30.6,27.4,7.5,44.0,7.6,6.5,2,3.69,8.1,20.07,220.0,27.3,47.2,-1.71,2,0.6,19950.0,0,38.7,19.6,44.0137283,12.0103587,040009
265,Montese,MO,3370,656.0,84.6,85.7,75.2,80.9,101.1,94.2,98.6,29.4,1.7,32.2,38.3,27.5,57.7,13.8,19.9,30.3,1.8,4.0,7,0.33,0.45,11.64,307.0,30.3,49.8,1.17,2,0.6,21359.0,0,110.5,92.4,44.266205,10.9335566,036026
267,Gaggio Montano,BO,4884,856.0,84.5,84.3,83.8,84.7,85.2,84.5,101.8,17.5,16.3,18.2,32.2,10.7,50.1,18.9,11.8,34.4,11.8,11.7,8,3.79,11.63,25.18,238.0,25.9,47.4,1.73,2,0.4,22397.0,0,108.5,88.3,44.2210528,10.9804318,037027
268,Galeata,FC,2529,318.0,84.2,86.0,74.6,78.5,103.1,100.0,106.5,52.5,1.9,12.0,44.1,51.7,31.2,30.4,2.3,54.6,1.9,2.1,9,1.23,2.66,1.02,159.0,23.2,44.4,3.01,0,0.0,21384.0,0,45.9,24.5,43.9958649,11.9228134,040014
269,Lugagnano Val d'Arda,PC,3946,380.0,84.1,80.5,78.8,89.6,88.7,96.5,99.0,24.7,9.1,24.8,58.6,36.0,41.1,10.4,8.8,34.2,9.2,10.4,6,3.1,3.1,6.42,283.0,30.3,49.3,0.89,1,0.3,21212.0,0,194.7,168.0,44.8163675,9.7732998,033026
270,Calestano,PR,2132,542.0,83.4,88.9,89.3,78.0,78.6,93.3,101.8,57.4,2.4,2.1,34.3,24.3,25.1,22.9,21.7,23.0,20.9,7.8,1,3.98,9.54,11.41,193.0,24.3,46.4,0.8,2,0.9,22996.0,0,167.3,145.9,44.5929829,10.1290264,034008
271,Piozzano,PC,572,356.0,83.2,84.3,79.1,82.0,88.2,93.3,80.0,32.4,6.6,35.3,25.1,36.8,39.4,25.4,12.4,34.4,13.1,6.7,1,4.21,4.21,11.38,500.0,33.2,53.5,-6.38,0,0.0,22853.0,0,219.6,191.3,44.9091257,9.4623848,033034
272,Polinago,MO,1577,539.0,82.3,78.9,78.2,85.6,87.3,82.8,91.7,21.7,16.5,32.6,33.1,42.4,34.5,32.9,6.6,20.7,16.3,3.8,3,0.86,1.61,28.38,327.0,34.0,51.5,-2.65,1,0.6,20265.0,0,125.8,115.0,44.3717769,10.7188234,036032
272,Alto Reno Terme,BO,7066,967.0,82.3,84.6,82.4,75.1,88.2,92.7,101.4,13.2,10.6,12.8,57.5,8.2,54.4,35.3,11.3,47.2,10.6,10.6,15,7.87,23.42,10.63,267.0,28.8,48.6,2.11,9,1.3,22968.0,0,113.7,91.6,44.1239446,10.9430536,037062
274,Castel del Rio,BO,1214,479.0,81.6,89.8,76.3,82.4,79.2,98.8,94.7,32.1,2.9,23.3,29.7,35.1,48.8,17.3,17.3,29.5,23.1,3.0,3,3.58,9.51,1.94,317.0,31.6,50.1,-1.06,7,5.8,20338.0,0,69.6,47.5,44.2032502,11.4927087,037014
274,Tredozio,FC,1099,441.0,81.6,86.4,77.6,78.0,85.1,91.4,87.9,55.8,3.5,21.4,22.1,18.4,58.2,18.4,14.8,50.2,14.8,8.4,2,9.13,14.62,12.22,376.0,33.8,51.5,-4.02,14,12.7,19462.0,0,52.8,29.5,44.0673464,11.7548171,040049
276,Carpineti,RE,3907,602.0,81.5,77.4,80.8,78.6,90.5,94.1,92.7,26.8,15.6,42.7,15.5,50.0,10.1,3.2,16.1,55.4,2.0,13.3,8,0.34,0.41,11.74,286.0,29.2,49.4,-2.81,9,2.3,22535.0,0,138.0,122.8,44.4536256,10.5306811,035011
277,Santa Sofia,FC,4009,520.0,81.2,82.1,83.8,70.9,90.5,84.6,94.2,51.7,9.0,9.3,48.6,39.9,20.0,28.3,20.8,49.6,8.8,9.1,7,6.22,7.51,24.19,235.0,27.7,47.4,-2.81,18,4.5,21205.0,0,53.5,34.1,43.9133917,11.8805159,040043
278,Sarsina,FC,3310,486.0,80.6,87.6,78.2,68.6,92.4,66.6,92.3,33.1,7.8,30.5,10.9,55.5,6.9,31.3,22.7,49.1,7.9,7.8,5,0.44,0.53,47.71,302.0,30.5,49.7,-2.79,2,0.6,19297.0,0,38.4,27.2,43.936279,12.1034593,040044
279,Alta Val Tidone,PC,2908,463.0,80.5,78.4,75.6,80.8,88.4,86.5,86.1,30.4,13.7,37.5,31.0,41.0,44.4,23.8,16.3,30.5,13.8,5.9,3,5.28,5.73,21.75,474.0,36.7,53.9,-3.23,1,0.3,21886.0,0,227.2,199.2,44.8981149,9.3635255,033049
280,Bagno di Romagna,FC,5580,831.0,80.2,78.2,78.6,74.5,91.4,67.3,89.7,58.2,6.8,24.6,49.1,54.9,6.7,27.5,10.2,59.7,6.6,10.1,9,5.36,12.04,46.24,293.0,30.2,49.3,-4.34,27,4.8,20199.0,0,52.0,36.3,43.8692829,11.9501626,040001
281,Sant'Agata Feltria,RN,1964,529.0,79.7,99.2,71.2,65.9,91.8,75.9,86.7,15.8,1.1,15.7,15.2,63.6,15.8,16.5,25.1,62.5,14.2,1.3,6,0.75,0.79,37.19,329.0,30.7,50.3,-5.39,6,3.1,18932.0,0,38.6,36.3,43.8643507,12.2018042,099026
282,Pavullo nel Frignano,MO,18360,786.0,79.6,77.7,64.8,90.3,91.5,98.4,105.9,2.2,2.6,45.6,57.7,55.3,58.0,35.8,2.2,3.2,3.0,11.9,6,0.6,0.66,4.33,183.0,23.5,45.4,3.13,6,0.3,22870.0,0,117.4,109.5,44.3376354,10.8451377,036030
283,Pennabilli,RN,2692,525.0,79.5,86.3,66.8,72.4,101.0,82.0,93.1,20.6,12.2,20.5,33.4,64.4,34.1,20.8,17.3,59.7,3.3,3.1,8,0.63,1.03,29.56,313.0,30.5,49.6,-2.11,5,1.9,17622.0,0,39.0,38.6,43.8045204,12.2710297,099024
284,Varsi,PR,1136,696.0,79.4,65.7,83.3,78.1,96.6,57.5,86.0,75.0,5.8,37.5,69.4,32.2,33.0,22.5,6.4,59.5,5.5,5.5,5,1.09,1.17,70.39,425.0,37.8,54.2,-4.22,9,7.9,20401.0,0,190.0,166.7,44.6456283,9.83599,034046
285,Palagano,MO,2041,598.0,79.1,81.2,68.6,76.4,94.9,87.2,89.7,33.1,8.1,32.1,43.1,57.2,42.8,37.4,14.1,32.2,8.1,4.7,3,0.42,0.64,22.39,327.0,31.4,50.5,-3.82,0,0.0,19778.0,0,133.2,123.1,44.3260214,10.6409279,036029
286,Terenzo,PR,1152,684.0,79.0,77.7,90.6,74.2,75.7,80.8,91.5,72.3,10.1,10.5,41.8,20.6,25.9,35.5,16.0,39.9,25.5,3.0,2,1.42,1.51,30.9,309.0,30.8,51.1,-3.11,4,3.5,23947.0,0,171.3,149.4,44.608731,10.0761935,034038
286,Albareto,PR,2060,532.0,79.0,67.3,89.4,74.0,90.3,88.9,89.2,65.2,2.1,48.8,55.8,18.8,30.8,39.1,15.8,34.5,14.2,2.6,1,8.59,11.46,16.6,366.0,33.4,51.3,-3.42,4,1.9,19339.0,0,203.8,184.5,44.4381363,9.6934499,034001
288,Pellegrino Parmense,PR,961,691.0,78.8,67.6,82.6,89.7,78.7,89.1,85.2,39.8,21.8,39.4,47.2,25.5,41.7,21.7,7.0,23.9,6.6,19.0,1,1.41,1.41,19.23,386.0,34.1,52.0,-5.32,1,1.0,19623.0,0,183.8,158.4,44.7539836,9.9101971,034028
